model,attack,spam_recall_original,spam_recall_adversarial,drop_pct,evasion_rate
nb,original,0.7047,0.7047,0.0,0.0
nb,leetspeak,0.7047,0.4161,40.95,0.4095
nb,spacing,0.7047,0.4966,29.52,0.2952
nb,split_keywords,0.7047,0.6913,1.9,0.019
lr,original,0.7919,0.7919,0.0,0.0
lr,leetspeak,0.7919,0.1342,83.05,0.8305
lr,spacing,0.7919,0.5638,28.81,0.2881
lr,split_keywords,0.7919,0.7651,3.39,0.0339
lr_balanced,original,0.9329,0.9329,0.0,0.0
lr_balanced,leetspeak,0.9329,0.443,52.52,0.5252
lr_balanced,spacing,0.9329,0.8456,9.35,0.0935
lr_balanced,split_keywords,0.9329,0.9329,0.0,0.0
